ch1,ch2,ch3
2043,2040,2041
2039,2042,2039
2041,2043,2039
2046,2041,2043
2044,2039,2043
2043,2040,2044
2045,2039,2041
2048,2039,2039
2045,2042,2041
2042,2040,2039
2045,2039,2043
2042,2039,2041
2041,2043,2042
2043,2042,2042
2046,2039,2042
2044,2041,2039
2041,2044,2040
2043,2041,2041
2049,2037,2044
2044,2039,2043
2041,2043,2042
2044,2041,2039
2048,2040,2041
2044,2042,2040
2042,2043,2039
2044,2040,2041
2048,2039,2043
2044,2041,2044
2039,2043,2041
2043,2044,2040
2050,2039,2041
2044,2039,2041
2039,2041,2042
2043,2039,2042
2047,2039,2044
2043,2041,2039
2041,2043,2039
2042,2043,2039
2048,2039,2039
2043,2040,2042
2041,2042,2043
2044,2039,2045
2045,2038,2043
2044,2041,2041
2041,2042,2039
2049,2039,2041
2049,2037,2041
2041,2042,2041
2035,2045,2039
2042,2043,2044
2048,2036,2044
2049,2037,2042
2040,2042,2039
2044,2042,2038
2049,2039,2043
2041,2041,2044
2037,2045,2044
2048,2039,2043
2053,2038,2041
2039,2045,2036
2035,2050,2036
2044,2039,2043
2049,2034,2045
2043,2038,2046
2037,2041,2042
2053,2042,2042
2052,2036,2038
2037,2046,2037
2037,2045,2040
2050,2036,2045
2044,2036,2044
2038,2045,2044
2039,2048,2039
2049,2043,2038
2053,2041,2043
2043,2033,2041
2045,2037,2045
2043,2036,2047
2043,2042,2039
2040,2049,2036
2037,2049,2037
2048,2043,2039
2044,2039,2040
2042,2039,2044
2045,2037,2044
2041,2039,2040
2039,2048,2039
2048,2039,2041
2043,2037,2039
2050,2042,2050
2041,2039,2039
2050,2042,2044
2039,2037,2037
2036,2049,2042
2044,2042,2038
2053,2037,2046
2041,2039,2042
2036,2048,2037
2048,2042,2043
2052,2035,2041
2042,2041,2043
2031,2042,2035
2058,2036,2048
2052,2029,2043
2032,2048,2038
2032,2052,2036
2053,2039,2044
2053,2033,2042
2037,2043,2043
2044,2037,2044
2052,2035,2045
2040,2043,2041
2039,2049,2042
2043,2037,2038
2052,2038,2040
2039,2043,2038
2039,2048,2039
2041,2041,2039
2043,2043,2045
2041,2039,2042
2045,2038,2044
2052,2035,2048
2052,2035,2044
2048,2041,2039
2044,2043,2039
2043,2041,2042
2041,2042,2041
2041,2039,2045
2039,2039,2043
2041,2045,2037
2043,2048,2036
2045,2045,2037
2052,2039,2044
2044,2035,2046
2041,2037,2046
2044,2036,2045
2045,2037,2040
2042,2044,2037
2037,2048,2035
2042,2049,2037
2052,2037,2045
2048,2032,2045
2040,2041,2044
2039,2047,2041
2045,2048,2039
2050,2039,2042
2045,2035,2042
2038,2038,2042
2044,2044,2040
2041,2044,2039
2042,2045,2041
2043,2039,2042
2045,2037,2043
2051,2037,2044
2048,2039,2042
2046,2041,2042
2042,2042,2039
2039,2041,2041
2044,2041,2044
2042,2039,2043
2043,2041,2044
2046,2041,2037
2045,2043,2039
2042,2043,2039
2044,2043,2043
2044,2039,2044
2048,2037,2046
2043,2036,2043
2044,2039,2041
2045,2041,2039
2049,2042,2041
2042,2042,2041
2035,2045,2039
2039,2042,2041
2045,2037,2043
2049,2039,2042
2044,2042,2039
2043,2044,2039
2048,2042,2040
2048,2037,2044
2041,2039,2044
2039,2042,2043
2044,2042,2039
2041,2045,2037
2039,2046,2039
2047,2043,2043
2051,2035,2045
2045,2037,2044
2040,2041,2043
2048,2039,2042
2054,2034,2045
2042,2039,2041
2033,2050,2037
2040,2048,2037
2049,2039,2041
2039,2038,2042
2036,2044,2042
2048,2043,2044
2053,2038,2041
2043,2040,2038
2039,2042,2039
2048,2036,2044
2049,2034,2045
2039,2043,2042
2039,2045,2041
2049,2039,2042
2048,2039,2041
2040,2045,2042
2041,2043,2040
2050,2041,2042
2045,2041,2041
2039,2044,2040
2041,2039,2042
2052,2036,2045
2043,2037,2042
2041,2045,2041
2044,2039,2039
2049,2039,2041
2041,2041,2041
2042,2043,2041
2044,2039,2041
2046,2041,2042
2043,2043,2042
2039,2040,2042
2042,2039,2041
2041,2042,2039
2039,2045,2039
2048,2041,2042
2050,2037,2042
2041,2041,2041
2040,2045,2040
2046,2041,2042
2050,2039,2044
2043,2037,2042
2041,2039,2041
2043,2040,2039
2046,2041,2041
2041,2039,2041
2040,2043,2043
2048,2041,2045
2045,2039,2042
2042,2041,2039
2043,2042,2038
2045,2039,2042
2045,2041,2043
2039,2044,2042
2042,2041,2041
2049,2037,2041
2046,2038,2042
2039,2041,2041
2041,2042,2041
2045,2041,2041
2046,2041,2042
2042,2041,2041
2044,2043,2041
2048,2039,2042
2044,2040,2042
2042,2041,2042
2042,2038,2043
2045,2039,2044
2043,2041,2042
2041,2044,2039
2044,2044,2038
2048,2039,2041
2045,2039,2041
2044,2039,2044
2043,2037,2043
2044,2041,2042
2042,2043,2040
2045,2041,2041
2045,2039,2039
2044,2042,2042
2043,2041,2039
2045,2039,2042
2045,2037,2043
2044,2038,2042
2041,2041,2043
2044,2042,2040
2045,2041,2039
2041,2043,2039
2042,2043,2039
2044,2039,2042
2044,2039,2044
2039,2042,2039
2047,2042,2042
2048,2036,2042
2046,2039,2043
2039,2042,2039
2042,2044,2039
2048,2039,2042
2045,2039,2043
2040,2041,2042
2044,2041,2042
2046,2039,2042
2043,2043,2039
2041,2043,2041
2042,2042,2039
2049,2041,2043
2044,2041,2040
2041,2043,2041
2043,2043,2041
2048,2041,2044
2046,2037,2043
2040,2041,2042
2042,2042,2040
2048,2039,2040
2044,2039,2039
2039,2042,2039
2041,2043,2039
2044,2041,2041
2043,2039,2042
2042,2039,2042
2045,2037,2044
2048,2037,2043
2043,2039,2041
2042,2043,2041
2043,2041,2039
2045,2041,2041
2045,2039,2041
2043,2041,2043
2042,2041,2041
2043,2043,2041
2044,2041,2041
2043,2039,2041
2046,2037,2043
2048,2036,2041
2043,2041,2041
2041,2044,2039
2045,2040,2042
2044,2041,2042
2041,2044,2041
2041,2043,2039
2045,2042,2039
2048,2039,2042
2045,2039,2044
2041,2039,2041
2045,2041,2042
2045,2039,2042
2042,2043,2039
2040,2044,2039
